time (sec),DEBUG_BARO_2,DEBUG_BARO_1,DEBUG_BARO_3,Throttle
0.009498,187,202,202,378
0.034485,161,200,202,378
0.059474,204,199,199,378
0.084465,179,198,198,378
0.109453,187,197,197,378
0.134443,179,195,195,378
0.159433,187,194,194,378
0.184421,179,193,193,378
0.209411,196,192,193,378
0.234401,187,191,192,378
0.259389,213,190,192,378
0.284379,170,190,190,378
0.30937,152,189,190,378
0.334357,196,189,189,378
0.359347,179,188,189,378
0.384338,239,187,188,378
0.409326,239,187,187,378
0.434315,204,187,187,378
0.459306,204,188,187,378
0.484295,196,189,188,378
0.509283,213,190,189,378
0.534273,196,192,190,378
0.559262,239,193,192,379
0.584251,231,194,193,380
0.609242,239,196,194,390
0.63423,257,198,196,412
0.659219,266,200,198,410
0.68421,248,203,200,409
0.709197,248,206,200,409
0.734187,239,209,206,410
0.759177,222,212,209,410
0.784165,222,212,212,411
0.809155,213,215,215,410
0.834145,213,218,218,411
0.859133,213,220,220,411
0.884123,187,221,220,411
0.909114,187,222,222,411
0.934102,222,223,223,411
0.959091,187,222,222,417
0.984082,179,221,221,449
1.00907,179,220,220,463
1.03406,170,218,218,464
1.05905,135,216,216,462
1.084038,127,213,213,462
1.109027,118,210,210,463
1.134018,152,206,206,463
1.159007,161,201,201,462
1.183997,179,197,197,462
1.208985,187,192,197,462
1.233973,127,188,188,463
1.258963,161,185,185,463
1.283953,179,182,182,463
1.308941,196,179,179,463
1.33393,213,177,177,463
1.35892,222,176,177,463
1.383911,213,175,176,463
1.408897,257,175,176,463
1.433888,213,176,175,463
1.458876,222,178,176,463
1.483865,231,180,178,464
1.508856,231,183,180,465
1.533844,231,185,183,465
1.558832,300,188,185,463
1.583823,283,192,188,464
1.608811,257,196,192,465
1.6338,231,200,196,465
1.65879,248,205,196,469
1.683778,274,209,205,476
1.708767,257,214,209,479
1.733757,266,218,209,479
1.758745,266,218,218,479
1.783735,266,222,222,479
1.808725,309,226,226,479
1.833713,283,230,230,479
1.858702,283,233,233,479
1.883692,274,237,237,479
1.90868,283,241,241,479
1.933669,309,245,241,479
1.95866,335,248,248,479
1.983647,335,252,252,479
2.008637,361,256,256,479
2.033627,378,261,261,481
2.058615,378,266,266,479
2.083604,370,272,272,480
2.108594,326,279,279,481
2.133582,387,285,285,479
2.158571,413,293,293,481
2.183561,396,300,300,482
2.208549,413,307,307,482
2.233538,439,314,314,482
2.258528,439,322,322,482
2.283517,457,330,330,483
2.308505,457,338,330,483
2.333495,448,347,347,483
2.358483,457,355,355,483
2.383473,500,364,364,483
2.408463,500,372,372,483
2.433451,482,381,372,483
2.458439,500,389,389,483
2.48343,509,398,398,483
2.508418,517,407,398,483
2.533407,543,416,407,483
2.558399,517,424,407,483
2.583385,552,433,424,482
2.608374,569,441,433,482
2.633364,561,449,441,481
2.658352,561,458,441,479
2.683341,613,466,458,481
2.708331,596,475,466,482
2.733319,596,475,475,481
2.758311,604,483,483,482
2.783298,578,492,492,481
2.808286,630,500,500,482
2.833276,648,509,509,482
2.858268,648,518,518,482
2.883253,682,527,527,482
2.908242,682,536,536,481
2.933232,700,546,546,482
2.958223,700,556,556,482
2.983209,726,566,566,482
3.008199,691,577,577,482
3.033188,726,587,577,482
3.058176,708,597,597,482
3.083166,787,608,608,482
3.108154,769,618,608,482
3.133143,839,628,628,482
3.158134,787,639,639,481
3.183122,847,650,650,482
3.208109,821,662,662,482
3.233099,830,674,674,483
3.258089,882,686,686,483
3.283076,908,698,698,484
3.308065,917,711,711,489
3.333053,943,724,724,508
3.358044,926,738,738,513
3.383032,943,752,738,514
3.40802,934,766,752,518
3.433009,978,781,766,518
3.458001,995,795,781,535
3.482986,995,809,795,550
3.507974,995,823,809,548
3.532964,1039,837,823,548
3.557954,1039,851,837,548
3.58294,1021,866,851,548
3.60793,1091,880,866,548
3.632917,1065,893,880,548
3.657909,1126,907,893,548
3.682895,1134,921,893,548
3.707883,1143,935,921,547
3.732872,1117,950,935,546
3.757864,1134,965,950,543
3.782848,1247,979,965,543
3.807837,1212,994,965,543
3.832827,1212,994,994,546
3.857819,1230,1008,1008,546
3.882802,1256,1023,1023,543
3.907792,1247,1039,1039,546
3.932779,1247,1055,1039,548
3.95777,1299,1070,1070,546
3.982757,1326,1086,1086,546
4.007744,1308,1102,1102,546
4.032733,1326,1118,1102,546
4.057725,1351,1134,1134,548
4.082709,1378,1150,1134,546
4.107698,1386,1166,1166,546
4.132687,1351,1182,1182,548
4.157674,1421,1198,1182,548
4.182663,1447,1214,1198,548
4.207652,1447,1230,1214,548
4.232639,1421,1246,1230,548
4.257638,1473,1263,1246,548
4.282617,1491,1279,1263,548
4.307604,1551,1294,1279,547
4.332594,1604,1310,1294,548
4.357584,1569,1327,1310,548
4.382568,1595,1344,1327,548
4.407556,1613,1361,1344,547
4.432546,1630,1379,1361,546
4.457532,1630,1397,1379,546
4.48252,1630,1415,1397,548
4.507511,1630,1433,1415,546
4.532498,1673,1451,1433,546
4.557487,1726,1468,1451,546
4.582474,1752,1485,1468,546
4.607461,1734,1503,1485,544
4.632449,1760,1520,1503,546
4.657439,1813,1538,1520,546
4.682425,1804,1555,1538,544
4.707413,1856,1573,1555,542
4.732402,1856,1592,1573,543
4.757389,1873,1610,1592,543
4.782377,1891,1629,1610,543
4.807366,1917,1649,1629,543
4.832354,1960,1668,1649,543
4.857343,1917,1687,1668,543
4.882329,1926,1707,1668,544
4.907316,1978,1726,1707,545
4.932306,1978,1726,1707,542
4.957298,2013,1744,1726,546
4.98228,2004,1763,1744,546
5.007268,2039,1781,1763,546
5.032257,2065,1800,1781,546
5.057244,2056,1818,1800,543
5.082231,2073,1837,1800,543
5.10722,2126,1855,1837,541
5.132207,2134,1874,1855,540
5.157199,2152,1892,1874,519
5.182184,2169,1911,1892,468
5.20717,2204,1930,1911,454
5.232158,2178,1949,1930,458
5.257147,2221,1968,1949,458
5.282134,2239,1987,1968,458
5.307122,2274,2005,1987,458
5.33211,2247,2024,2005,456
5.357099,2265,2043,2024,456
5.382085,2213,2061,2043,458
5.407073,2291,2079,2061,454
5.43206,2326,2096,2079,416
5.457048,2239,2113,2079,387
5.482036,2282,2129,2113,387
5.507023,2317,2145,2129,391
5.53201,2274,2159,2145,394
5.557002,2334,2173,2159,394
5.581986,2352,2186,2173,394
5.606973,2317,2198,2186,400
5.631962,2369,2210,2198,409
5.656948,2352,2222,2210,428
5.681936,2369,2234,2222,436
5.706924,2404,2245,2234,441
5.731912,2387,2256,2245,441
5.756901,2422,2267,2256,444
5.781887,2439,2277,2267,442
5.806873,2448,2288,2277,442
5.831861,2491,2299,2288,441
5.856849,2448,2310,2288,440
5.881837,2500,2322,2310,440
5.906823,2500,2333,2322,440
5.931811,2500,2333,2333,440
5.956801,2500,2345,2345,440
5.981785,2517,2357,2357,440
6.006774,2526,2369,2357,440
6.03176,2578,2381,2381,440
6.056748,2570,2393,2393,440
6.081736,2587,2406,2393,440
6.106722,2665,2418,2406,440
6.13171,2639,2431,2418,440
6.156702,2656,2445,2431,440
6.181684,2726,2459,2445,437
6.206671,2700,2473,2445,437
6.23166,2726,2489,2473,437
6.256646,2744,2505,2489,437
6.281633,2761,2521,2505,436
6.306622,2796,2538,2521,434
6.331608,2752,2555,2538,415
6.356595,2787,2572,2555,415
6.381584,2744,2589,2572,414
6.40657,2822,2606,2589,397
6.431557,2804,2622,2589,399
6.456546,2848,2638,2622,400
6.481532,2831,2653,2638,400
6.506519,2848,2669,2653,401
6.531507,2822,2683,2669,400
6.556496,2857,2698,2683,400
6.581482,2909,2712,2698,400
6.606469,2918,2725,2712,400
6.631455,2892,2738,2725,400
6.656442,2900,2752,2725,400
6.681431,2935,2765,2752,401
6.706416,2900,2777,2765,400
6.731404,2970,2789,2777,400
6.756395,2961,2801,2789,401
6.781378,2970,2813,2801,401
6.806365,2987,2825,2813,400
6.831353,2970,2837,2825,400
6.856339,2996,2849,2837,400
6.881326,3031,2860,2849,400
6.906315,3022,2872,2860,400
6.9313,2970,2883,2872,400
6.95629,3022,2895,2883,400
6.981276,3005,2906,2895,400
7.006262,3022,2916,2906,400
7.031249,3048,2926,2916,400
7.056237,3022,2936,2926,400
7.081223,3083,2945,2926,400
7.10621,3057,2954,2945,400
7.131198,3031,2962,2954,400
7.156187,3083,2971,2962,400
7.181171,3118,2979,2971,400
7.206159,3118,2979,2979,400
7.231145,3118,2987,2979,400
7.256132,3083,2995,2995,400
7.281122,3083,3003,3003,400
7.306106,3127,3012,3012,400
7.331093,3118,3020,3020,400
7.356084,3101,3027,3027,400
7.381068,3127,3035,3035,400
7.406055,3075,3042,3042,400
7.431043,3153,3049,3049,400
7.456029,3179,3056,3056,401
7.481015,3144,3063,3063,400
7.506003,3179,3070,3063,400
7.53099,3170,3077,3077,401
7.555983,3144,3084,3084,400
7.580966,3170,3091,3091,400
7.605951,3222,3098,3098,400
7.630938,3257,3105,3105,400
7.655926,3231,3112,3112,400
7.680912,3222,3120,3120,400
7.705899,3231,3128,3128,400
7.730887,3249,3136,3136,400
7.755873,3266,3144,3144,400
7.780859,3284,3152,3152,400
7.805848,3249,3160,3160,401
7.830834,3292,3168,3168,400
7.855821,3292,3177,3177,400
7.880809,3275,3186,3186,400
7.905794,3292,3194,3194,400
7.930782,3310,3203,3203,400
7.955773,3318,3211,3211,400
7.980756,3327,3219,3211,400
8.005743,3301,3228,3228,400
8.030731,3318,3235,3235,400
8.055717,3318,3243,3235,400
8.080704,3318,3243,3235,400
8.105692,3327,3250,3243,400
8.130677,3362,3257,3250,400
8.155664,3362,3264,3257,400
8.180652,3345,3271,3257,400
8.205638,3371,3278,3271,400
8.230624,3388,3284,3278,400
8.255613,3371,3291,3284,400
8.280598,3388,3298,3291,400
8.305585,3431,3305,3298,400
8.330574,3449,3311,3305,400
8.355559,3423,3319,3311,400
8.380546,3414,3326,3311,400
